en,ru,level,source,source_url
moment,момент,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
weekend,выходные,A1,WikDict,https://en.wiktionary.org/wiki/weekend
midnight,полночь,A1,WikDict,https://en.wiktionary.org/wiki/midnight
monday,понедельник,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
tuesday,вторник,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
wednesday,среда,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
thursday,четверг,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
friday,пятница,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
saturday,суббота,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
sunday,воскресенье,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
january,январь,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
february,февраль,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
march,март,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
april,апрель,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
may,май,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
pink,розовый,A1,WikDict,https://en.wiktionary.org/wiki/pink
june,июнь,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
july,июль,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
august,август,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
september,сентябрь,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
october,октябрь,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
november,ноябрь,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
december,декабрь,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
spring,весна,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
summer,лето,A1,WikDict,https://en.wiktionary.org/wiki/summer
winter,зима,A1,WikDict,https://en.wiktionary.org/wiki/winter
date,дата,A1,WikDict,https://en.wiktionary.org/wiki/date
period,период,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
food,еда,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
water,вода,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
milk,молоко,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
tea,чай,A1,WikDict,https://en.wiktionary.org/wiki/tea
coffee,кофе,A1,WikDict,https://en.wiktionary.org/wiki/coffee
juice,сок,A1,WikDict,https://en.wiktionary.org/wiki/juice
bread,хлеб,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
egg,яйцо,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
rice,рис,A1,WikDict,https://en.wiktionary.org/wiki/rice
meat,мясо,A1,WikDict,https://en.wiktionary.org/wiki/meat
fish,рыба,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
chicken,курица,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
apple,яблоко,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
banana,банан,A1,WikDict,https://en.wiktionary.org/wiki/banana
tomato,помидор,A1,WikDict,https://en.wiktionary.org/wiki/tomato
potato,картофель,A1,WikDict,https://en.wiktionary.org/wiki/potato
carrot,морковь,A1,WikDict,https://en.wiktionary.org/wiki/carrot
onion,лук,A1,WikDict,https://en.wiktionary.org/wiki/onion
cheese,сыр,A1,WikDict,https://en.wiktionary.org/wiki/cheese
butter,сливочное масло,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
sugar,сахар,A1,WikDict,https://en.wiktionary.org/wiki/sugar
salt,соль,A1,WikDict,https://en.wiktionary.org/wiki/salt
pepper,перец,A1,WikDict,https://en.wiktionary.org/wiki/pepper
cake,торт,A1,WikDict,https://en.wiktionary.org/wiki/cake
soup,суп,A1,WikDict,https://en.wiktionary.org/wiki/soup
salad,салат,A1,WikDict,https://en.wiktionary.org/wiki/salad
sandwich,бутерброд,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
ice cream,мороженое,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
chocolate,шоколад,A1,WikDict,https://en.wiktionary.org/wiki/chocolate
fruit,фрукт,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
vegetable,овощ,A1,WikDict,https://en.wiktionary.org/wiki/vegetable
half,половина,A1,WikDict,https://en.wiktionary.org/wiki/half
meal,приём пищи,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
breakfast,завтрак,A1,WikDict,https://en.wiktionary.org/wiki/breakfast
lunch,обед,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
right,правый,A1,WikDict,https://en.wiktionary.org/wiki/right
dinner,ужин,A1,WikDict,https://en.wiktionary.org/wiki/dinner
dish,блюдо,A1,WikDict,https://en.wiktionary.org/wiki/dish
wine,вино,A1,WikDict,https://en.wiktionary.org/wiki/wine
beer,пиво,A1,WikDict,https://en.wiktionary.org/wiki/beer
today,сегодня,A1,WikDict,https://en.wiktionary.org/wiki/today
cream,сливки,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
ice,лёд,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
yesterday,вчера,A1,WikDict,https://en.wiktionary.org/wiki/yesterday
diet,питание,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
dog,собака,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
cat,кот,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
bird,птица,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
horse,лошадь,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
cow,корова,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
pig,свинья,A1,WikDict,https://en.wiktionary.org/wiki/pig
mouse,мышь,A1,WikDict,https://en.wiktionary.org/wiki/mouse
sheep,овца,A1,WikDict,https://en.wiktionary.org/wiki/sheep
lion,лев,A1,WikDict,https://en.wiktionary.org/wiki/lion
elephant,слон,A1,WikDict,https://en.wiktionary.org/wiki/elephant
snake,змея,A1,WikDict,https://en.wiktionary.org/wiki/snake
animal,животное,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
sun,солнце,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
star,звезда,A1,WikDict,https://en.wiktionary.org/wiki/star
air,воздух,A1,WikDict,https://en.wiktionary.org/wiki/air
fire,огонь,A1,WikDict,https://en.wiktionary.org/wiki/fire
land,земля,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
river,река,A1,WikDict,https://en.wiktionary.org/wiki/river
mountain,гора,A1,WikDict,https://en.wiktionary.org/wiki/mountain
ocean,океан,A1,WikDict,https://en.wiktionary.org/wiki/ocean
tree,дерево,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
flower,цветок,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
snow,снег,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
rain,дождь,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
weather,погода,A1,WikDict,https://en.wiktionary.org/wiki/weather
