en,ru,level,source
cheese,сыр,A2,User-provided list: a2-user.md
child,ребёнок,A2,User-provided list: a2-user.md
chocolate,шоколад,A2,User-provided list: a2-user.md
choose,выбирать,A2,User-provided list: a2-user.md
cinema,кинотеатр,A2,User-provided list: a2-user.md
city,город,A2,User-provided list: a2-user.md
class,"класс, занятие",A2,User-provided list: a2-user.md
classroom,классная комната,A2,User-provided list: a2-user.md
clean,"чистый, чистить",A2,User-provided list: a2-user.md
clear,"ясный, понятный",A2,User-provided list: a2-user.md
climb,взбираться,A2,User-provided list: a2-user.md
clock,часы,A2,User-provided list: a2-user.md
close,"близкий, закрывать",A2,User-provided list: a2-user.md
clothes,одежда,A2,User-provided list: a2-user.md
cloudy,облачный,A2,User-provided list: a2-user.md
club,клуб,A2,User-provided list: a2-user.md
coat,пальто,A2,User-provided list: a2-user.md
coffee,кофе,A2,User-provided list: a2-user.md
cold,"холодный, простуда",A2,User-provided list: a2-user.md
college,колледж,A2,User-provided list: a2-user.md
colour,цвет,A2,User-provided list: a2-user.md
comfortable,удобный,A2,User-provided list: a2-user.md
common,распространённый,A2,User-provided list: a2-user.md
company,компания,A2,User-provided list: a2-user.md
compare,сравнивать,A2,User-provided list: a2-user.md
complete,"полный, заканчивать",A2,User-provided list: a2-user.md
computer,компьютер,A2,User-provided list: a2-user.md
concert,концерт,A2,User-provided list: a2-user.md
condition,"состояние, условие",A2,User-provided list: a2-user.md
congratulations,поздравления,A2,User-provided list: a2-user.md
continue,продолжать,A2,User-provided list: a2-user.md
control,контролировать,A2,User-provided list: a2-user.md
cook,готовить,A2,User-provided list: a2-user.md
corner,угол,A2,User-provided list: a2-user.md
correct,"правильный, исправлять",A2,User-provided list: a2-user.md
cost,"стоить, стоимость",A2,User-provided list: a2-user.md
could,мог бы,A2,User-provided list: a2-user.md
country,страна,A2,User-provided list: a2-user.md
countryside,"сельская местность, деревня",A2,User-provided list: a2-user.md
couple,пара,A2,User-provided list: a2-user.md
course,курс,A2,User-provided list: a2-user.md
cousin,"двоюродный брат, сестра",A2,User-provided list: a2-user.md
crazy,сумасшедший,A2,User-provided list: a2-user.md
cream,"сливки, крем",A2,User-provided list: a2-user.md
create,создавать,A2,User-provided list: a2-user.md
culture,культура,A2,User-provided list: a2-user.md
cup,чашка,A2,User-provided list: a2-user.md
customer,клиент,A2,User-provided list: a2-user.md
cut,резать,A2,User-provided list: a2-user.md
dance,"танцевать, танец",A2,User-provided list: a2-user.md
dangerous,опасный,A2,User-provided list: a2-user.md
dark,тёмный,A2,User-provided list: a2-user.md
date,"дата, свидание",A2,User-provided list: a2-user.md
daughter,дочь,A2,User-provided list: a2-user.md
day,день,A2,User-provided list: a2-user.md
decide,решать,A2,User-provided list: a2-user.md
delicious,вкусный,A2,User-provided list: a2-user.md
dentist,стоматолог,A2,User-provided list: a2-user.md
department,отдел,A2,User-provided list: a2-user.md
describe,описывать,A2,User-provided list: a2-user.md
desert,пустыня,A2,User-provided list: a2-user.md
design,"дизайн, проектировать",A2,User-provided list: a2-user.md
desk,письменный стол,A2,User-provided list: a2-user.md
dictionary,словарь,A2,User-provided list: a2-user.md
die,умирать,A2,User-provided list: a2-user.md
different,разный,A2,User-provided list: a2-user.md
difficult,трудный,A2,User-provided list: a2-user.md
dinner,ужин,A2,User-provided list: a2-user.md
direction,направление,A2,User-provided list: a2-user.md
dirty,грязный,A2,User-provided list: a2-user.md
discount,скидка,A2,User-provided list: a2-user.md
discuss,обсуждать,A2,User-provided list: a2-user.md
dish,блюдо,A2,User-provided list: a2-user.md
doctor,врач,A2,User-provided list: a2-user.md
dog,собака,A2,User-provided list: a2-user.md
dollar,доллар,A2,User-provided list: a2-user.md
door,дверь,A2,User-provided list: a2-user.md
download,скачивать,A2,User-provided list: a2-user.md
dream,"мечта, мечтать",A2,User-provided list: a2-user.md
dress,"платье, одеваться",A2,User-provided list: a2-user.md
drink,"пить, напиток",A2,User-provided list: a2-user.md
drive,водить,A2,User-provided list: a2-user.md
driver,водитель,A2,User-provided list: a2-user.md
dry,сухой,A2,User-provided list: a2-user.md
during,во время,A2,User-provided list: a2-user.md
each,каждый,A2,User-provided list: a2-user.md
early,"рано, ранний",A2,User-provided list: a2-user.md
east,восток,A2,User-provided list: a2-user.md
easy,лёгкий,A2,User-provided list: a2-user.md
eat,есть,A2,User-provided list: a2-user.md
education,образование,A2,User-provided list: a2-user.md
egg,яйцо,A2,User-provided list: a2-user.md
eight,восемь,A2,User-provided list: a2-user.md
either,любой из двух,A2,User-provided list: a2-user.md
electricity,электричество,A2,User-provided list: a2-user.md
else,"ещё, другой",A2,User-provided list: a2-user.md
email,электронная почта,A2,User-provided list: a2-user.md
empty,пустой,A2,User-provided list: a2-user.md
end,"конец, заканчивать",A2,User-provided list: a2-user.md
