en,ru,level,source
sun,солнце,A2,User-provided list: a2-user.md
supermarket,супермаркет,A2,User-provided list: a2-user.md
sure,уверенный,A2,User-provided list: a2-user.md
surprise,"удивлять, сюрприз",A2,User-provided list: a2-user.md
swim,плавать,A2,User-provided list: a2-user.md
table,стол,A2,User-provided list: a2-user.md
take,брать,A2,User-provided list: a2-user.md
talk,разговаривать,A2,User-provided list: a2-user.md
tall,высокий,A2,User-provided list: a2-user.md
taxi,такси,A2,User-provided list: a2-user.md
teach,учить,A2,User-provided list: a2-user.md
teacher,учитель,A2,User-provided list: a2-user.md
team,команда,A2,User-provided list: a2-user.md
telephone,телефон,A2,User-provided list: a2-user.md
television,телевидение,A2,User-provided list: a2-user.md
tell,рассказывать,A2,User-provided list: a2-user.md
temperature,температура,A2,User-provided list: a2-user.md
ten,десять,A2,User-provided list: a2-user.md
test,"тест, проверять",A2,User-provided list: a2-user.md
than,чем,A2,User-provided list: a2-user.md
thank,благодарить,A2,User-provided list: a2-user.md
theatre,театр,A2,User-provided list: a2-user.md
then,"затем, тогда",A2,User-provided list: a2-user.md
there,там,A2,User-provided list: a2-user.md
thing,вещь,A2,User-provided list: a2-user.md
think,думать,A2,User-provided list: a2-user.md
thirsty,испытывающий жажду,A2,User-provided list: a2-user.md
thursday,четверг,A2,User-provided list: a2-user.md
ticket,билет,A2,User-provided list: a2-user.md
time,время,A2,User-provided list: a2-user.md
tired,уставший,A2,User-provided list: a2-user.md
together,вместе,A2,User-provided list: a2-user.md
tomorrow,завтра,A2,User-provided list: a2-user.md
tonight,сегодня вечером,A2,User-provided list: a2-user.md
too,"тоже, слишком",A2,User-provided list: a2-user.md
tooth,зуб,A2,User-provided list: a2-user.md
topic,тема,A2,User-provided list: a2-user.md
tourist,турист,A2,User-provided list: a2-user.md
town,городок,A2,User-provided list: a2-user.md
traffic,движение,A2,User-provided list: a2-user.md
train,поезд,A2,User-provided list: a2-user.md
travel,путешествовать,A2,User-provided list: a2-user.md
tree,дерево,A2,User-provided list: a2-user.md
trip,поездка,A2,User-provided list: a2-user.md
true,верный,A2,User-provided list: a2-user.md
try,пытаться,A2,User-provided list: a2-user.md
tuesday,вторник,A2,User-provided list: a2-user.md
turn,"поворачивать, очередь",A2,User-provided list: a2-user.md
twice,дважды,A2,User-provided list: a2-user.md
type,"тип, печатать",A2,User-provided list: a2-user.md
understand,понимать,A2,User-provided list: a2-user.md
university,университет,A2,User-provided list: a2-user.md
until,до,A2,User-provided list: a2-user.md
usually,обычно,A2,User-provided list: a2-user.md
useful,полезный,A2,User-provided list: a2-user.md
vacation,"каникулы, отпуск",A2,User-provided list: a2-user.md
vegetable,овощ,A2,User-provided list: a2-user.md
visit,посещать,A2,User-provided list: a2-user.md
wait,ждать,A2,User-provided list: a2-user.md
wake,просыпаться,A2,User-provided list: a2-user.md
walk,"ходить, прогулка",A2,User-provided list: a2-user.md
want,хотеть,A2,User-provided list: a2-user.md
warm,тёплый,A2,User-provided list: a2-user.md
wash,мыть,A2,User-provided list: a2-user.md
watch,"смотреть, часы",A2,User-provided list: a2-user.md
water,вода,A2,User-provided list: a2-user.md
way,"путь, способ",A2,User-provided list: a2-user.md
wear,носить,A2,User-provided list: a2-user.md
weather,погода,A2,User-provided list: a2-user.md
wednesday,среда,A2,User-provided list: a2-user.md
week,неделя,A2,User-provided list: a2-user.md
weekend,выходные,A2,User-provided list: a2-user.md
welcome,"добро пожаловать, приветствие",A2,User-provided list: a2-user.md
well,хорошо,A2,User-provided list: a2-user.md
west,запад,A2,User-provided list: a2-user.md
what,что,A2,User-provided list: a2-user.md
when,когда,A2,User-provided list: a2-user.md
where,где,A2,User-provided list: a2-user.md
which,который,A2,User-provided list: a2-user.md
while,"пока, в то время как",A2,User-provided list: a2-user.md
white,белый,A2,User-provided list: a2-user.md
who,кто,A2,User-provided list: a2-user.md
whole,весь,A2,User-provided list: a2-user.md
whose,чей,A2,User-provided list: a2-user.md
why,почему,A2,User-provided list: a2-user.md
wife,жена,A2,User-provided list: a2-user.md
will,"буду, воля",A2,User-provided list: a2-user.md
win,выигрывать,A2,User-provided list: a2-user.md
window,окно,A2,User-provided list: a2-user.md
winter,зима,A2,User-provided list: a2-user.md
wish,желать,A2,User-provided list: a2-user.md
woman,женщина,A2,User-provided list: a2-user.md
wonder,интересоваться,A2,User-provided list: a2-user.md
word,слово,A2,User-provided list: a2-user.md
work,"работать, работа",A2,User-provided list: a2-user.md
world,мир,A2,User-provided list: a2-user.md
worry,волноваться,A2,User-provided list: a2-user.md
write,писать,A2,User-provided list: a2-user.md
wrong,неправильный,A2,User-provided list: a2-user.md
year,год,A2,User-provided list: a2-user.md
yellow,жёлтый,A2,User-provided list: a2-user.md
yesterday,вчера,A2,User-provided list: a2-user.md
young,молодой,A2,User-provided list: a2-user.md
zero,ноль,A2,User-provided list: a2-user.md
zoo,зоопарк,A2,User-provided list: a2-user.md
yourself,"себя, сам",A2,User-provided list: a2-user.md
yourselves,"себя, сами",A2,User-provided list: a2-user.md
yours,"твой, ваш",A2,User-provided list: a2-user.md
your,"твой, ваш",A2,User-provided list: a2-user.md
yet,"ещё, уже, однако",A2,User-provided list: a2-user.md
armchair,кресло,A2,User-provided list: a2-user.md
backpack,рюкзак,A2,User-provided list: a2-user.md
bandage,бинт,A2,User-provided list: a2-user.md
baseball,бейсбол,A2,User-provided list: a2-user.md
basketball,баскетбол,A2,User-provided list: a2-user.md
blanket,одеяло,A2,User-provided list: a2-user.md
blouse,блузка,A2,User-provided list: a2-user.md
bookshop,книжный магазин,A2,User-provided list: a2-user.md
boot,ботинок,A2,User-provided list: a2-user.md
bus stop,автобусная остановка,A2,User-provided list: a2-user.md
campsite,кемпинг,A2,User-provided list: a2-user.md
camping,кемпинг,A2,User-provided list: a2-user.md
candle,свеча,A2,User-provided list: a2-user.md
carpet,ковёр,A2,User-provided list: a2-user.md
castle,замок,A2,User-provided list: a2-user.md
ceiling,потолок,A2,User-provided list: a2-user.md
channel,канал,A2,User-provided list: a2-user.md
chef,повар,A2,User-provided list: a2-user.md
chemist,аптека,A2,User-provided list: a2-user.md
church,церковь,A2,User-provided list: a2-user.md
coast,побережье,A2,User-provided list: a2-user.md
coin,монета,A2,User-provided list: a2-user.md
competition,соревнование,A2,User-provided list: a2-user.md
conversation,разговор,A2,User-provided list: a2-user.md
cooker,плита,A2,User-provided list: a2-user.md
cupboard,шкаф,A2,User-provided list: a2-user.md
curtain,занавеска,A2,User-provided list: a2-user.md
cycling,езда на велосипеде,A2,User-provided list: a2-user.md
diary,дневник,A2,User-provided list: a2-user.md
elevator,лифт,A2,User-provided list: a2-user.md
entrance,вход,A2,User-provided list: a2-user.md
envelope,конверт,A2,User-provided list: a2-user.md
equipment,оборудование,A2,User-provided list: a2-user.md
factory,фабрика,A2,User-provided list: a2-user.md
forest,лес,A2,User-provided list: a2-user.md
fridge,холодильник,A2,User-provided list: a2-user.md
garage,гараж,A2,User-provided list: a2-user.md
gate,ворота,A2,User-provided list: a2-user.md
ground,земля,A2,User-provided list: a2-user.md
gym,спортзал,A2,User-provided list: a2-user.md
handbag,сумочка,A2,User-provided list: a2-user.md
headache,головная боль,A2,User-provided list: a2-user.md
homework,домашняя работа,A2,User-provided list: a2-user.md
information,информация,A2,User-provided list: a2-user.md
invitation,приглашение,A2,User-provided list: a2-user.md
keyboard,клавиатура,A2,User-provided list: a2-user.md
laboratory,лаборатория,A2,User-provided list: a2-user.md
lift,лифт,A2,User-provided list: a2-user.md
meeting,встреча,A2,User-provided list: a2-user.md
menu,меню,A2,User-provided list: a2-user.md
motorbike,мотоцикл,A2,User-provided list: a2-user.md
newspaper,газета,A2,User-provided list: a2-user.md
notice,объявление,A2,User-provided list: a2-user.md
postcard,открытка,A2,User-provided list: a2-user.md
postcode,почтовый индекс,A2,User-provided list: a2-user.md
sandwich,бутерброд,A2,User-provided list: a2-user.md
screen,экран,A2,User-provided list: a2-user.md
shower,душ,A2,User-provided list: a2-user.md
suitcase,чемодан,A2,User-provided list: a2-user.md
swimming pool,бассейн,A2,User-provided list: a2-user.md
toothbrush,зубная щётка,A2,User-provided list: a2-user.md
towel,полотенце,A2,User-provided list: a2-user.md
traffic lights,светофор,A2,User-provided list: a2-user.md
underground,метро,A2,User-provided list: a2-user.md
uniform,форма,A2,User-provided list: a2-user.md
wallet,кошелёк,A2,User-provided list: a2-user.md
washing machine,стиральная машина,A2,User-provided list: a2-user.md
website,веб-сайт,A2,User-provided list: a2-user.md
wildlife,дикая природа,A2,User-provided list: a2-user.md
waterfall,водопад,A2,User-provided list: a2-user.md
workshop,мастерская,A2,User-provided list: a2-user.md
actually,фактически,A2,User-provided list: a2-user.md
anywhere,где угодно,A2,User-provided list: a2-user.md
badly,плохо,A2,User-provided list: a2-user.md
carefully,осторожно,A2,User-provided list: a2-user.md
clearly,ясно,A2,User-provided list: a2-user.md
easily,легко,A2,User-provided list: a2-user.md
especially,особенно,A2,User-provided list: a2-user.md
exactly,точно,A2,User-provided list: a2-user.md
forwards,вперёд,A2,User-provided list: a2-user.md
generally,обычно,A2,User-provided list: a2-user.md
hardly,едва,A2,User-provided list: a2-user.md
immediately,немедленно,A2,User-provided list: a2-user.md
instead,вместо,A2,User-provided list: a2-user.md
luckily,к счастью,A2,User-provided list: a2-user.md
nearly,почти,A2,User-provided list: a2-user.md
normally,обычно,A2,User-provided list: a2-user.md
recently,недавно,A2,User-provided list: a2-user.md
slowly,медленно,A2,User-provided list: a2-user.md
abroad,за границей,A2,User-provided list: a2-user.md
beside,рядом,A2,User-provided list: a2-user.md
down,вниз,A2,User-provided list: a2-user.md
inside,внутри,A2,User-provided list: a2-user.md
over,"над, через",A2,User-provided list: a2-user.md
through,через,A2,User-provided list: a2-user.md
towards,по направлению к,A2,User-provided list: a2-user.md
under,под,A2,User-provided list: a2-user.md
up,вверх,A2,User-provided list: a2-user.md
without,без,A2,User-provided list: a2-user.md
but,но,A2,User-provided list: a2-user.md
so,"поэтому, так",A2,User-provided list: a2-user.md
that,"что, тот",A2,User-provided list: a2-user.md
though,хотя,A2,User-provided list: a2-user.md
and,и,A2,User-provided list: a2-user.md
or,или,A2,User-provided list: a2-user.md
anyone,кто угодно,A2,User-provided list: a2-user.md
anything,что угодно,A2,User-provided list: a2-user.md
everyone,все,A2,User-provided list: a2-user.md
everything,всё,A2,User-provided list: a2-user.md
nobody,никто,A2,User-provided list: a2-user.md
somebody,кто-то,A2,User-provided list: a2-user.md
less,меньше,A2,User-provided list: a2-user.md
more,больше,A2,User-provided list: a2-user.md
most,большинство,A2,User-provided list: a2-user.md
add,добавлять,A2,User-provided list: a2-user.md
advise,советовать,A2,User-provided list: a2-user.md
afford,позволить себе,A2,User-provided list: a2-user.md
avoid,избегать,A2,User-provided list: a2-user.md
belong,принадлежать,A2,User-provided list: a2-user.md
borrow,брать взаймы,A2,User-provided list: a2-user.md
breathe,дышать,A2,User-provided list: a2-user.md
burn,"гореть, сжигать",A2,User-provided list: a2-user.md
collect,собирать,A2,User-provided list: a2-user.md
communicate,общаться,A2,User-provided list: a2-user.md
complain,жаловаться,A2,User-provided list: a2-user.md
connect,соединять,A2,User-provided list: a2-user.md
consider,рассматривать,A2,User-provided list: a2-user.md
count,считать,A2,User-provided list: a2-user.md
cover,покрывать,A2,User-provided list: a2-user.md
cross,пересекать,A2,User-provided list: a2-user.md
cry,плакать,A2,User-provided list: a2-user.md
deal,иметь дело,A2,User-provided list: a2-user.md
develop,развивать,A2,User-provided list: a2-user.md
discover,обнаруживать,A2,User-provided list: a2-user.md
drop,ронять,A2,User-provided list: a2-user.md
earn,зарабатывать,A2,User-provided list: a2-user.md
encourage,поощрять,A2,User-provided list: a2-user.md
escape,убегать,A2,User-provided list: a2-user.md
examine,осматривать,A2,User-provided list: a2-user.md
exchange,обменивать,A2,User-provided list: a2-user.md
exist,существовать,A2,User-provided list: a2-user.md
expect,ожидать,A2,User-provided list: a2-user.md
fail,терпеть неудачу,A2,User-provided list: a2-user.md
feed,кормить,A2,User-provided list: a2-user.md
fight,драться,A2,User-provided list: a2-user.md
force,заставлять,A2,User-provided list: a2-user.md
hate,ненавидеть,A2,User-provided list: a2-user.md
hide,прятать,A2,User-provided list: a2-user.md
improve,улучшать,A2,User-provided list: a2-user.md
include,включать,A2,User-provided list: a2-user.md
introduce,представлять,A2,User-provided list: a2-user.md
knock,стучать,A2,User-provided list: a2-user.md
lend,одалживать,A2,User-provided list: a2-user.md
lie,"лежать, лгать",A2,User-provided list: a2-user.md
manage,справляться,A2,User-provided list: a2-user.md
miss,"скучать, пропускать",A2,User-provided list: a2-user.md
organize,организовывать,A2,User-provided list: a2-user.md
own,владеть,A2,User-provided list: a2-user.md
pass,"проходить, передавать",A2,User-provided list: a2-user.md
provide,обеспечивать,A2,User-provided list: a2-user.md
realize,осознавать,A2,User-provided list: a2-user.md
recognize,узнавать,A2,User-provided list: a2-user.md
recommend,рекомендовать,A2,User-provided list: a2-user.md
reduce,уменьшать,A2,User-provided list: a2-user.md
refuse,отказываться,A2,User-provided list: a2-user.md
relax,расслабляться,A2,User-provided list: a2-user.md
remain,оставаться,A2,User-provided list: a2-user.md
repair,ремонтировать,A2,User-provided list: a2-user.md
replace,заменять,A2,User-provided list: a2-user.md
report,сообщать,A2,User-provided list: a2-user.md
rescue,спасать,A2,User-provided list: a2-user.md
review,"повторять, обзор",A2,User-provided list: a2-user.md
risk,рисковать,A2,User-provided list: a2-user.md
seem,казаться,A2,User-provided list: a2-user.md
share,делиться,A2,User-provided list: a2-user.md
solve,решать,A2,User-provided list: a2-user.md
suggest,предлагать,A2,User-provided list: a2-user.md
support,поддерживать,A2,User-provided list: a2-user.md
